from_id,to_id,method,distance_km,time_min,cost_baht
5,18,driving-car,37.24,40.0,1216.8
5,19,driving-car,26.62,27.4,891.25
5,20,driving-car,82.57,62.6,1110.61
5,21,driving-car,34.33,36.6,697.43
5,22,driving-car,32.41,34.3,1021.14
5,23,driving-car,26.56,27.2,1128.38
5,24,driving-car,81.83,57.6,1596.1
5,25,driving-car,20.12,25.5,971.35
5,26,driving-car,20.5,24.1,850.33
5,27,driving-car,25.75,28.0,390.23
5,28,driving-car,25.99,26.7,461.89
5,29,driving-car,16.7,19.2,1054.1
5,30,driving-car,31.66,32.6,907.57
5,31,driving-car,17.59,21.3,259.91
5,32,driving-car,21.37,24.1,370.78
5,33,driving-car,16.7,19.2,842.55
5,34,driving-car,11.94,18.0,216.64
5,35,driving-car,11.62,16.9,354.57
5,36,driving-car,38.06,38.2,906.84
5,37,driving-car,30.82,32.6,977.77
5,38,driving-car,27.75,28.8,917.27
5,39,driving-car,74.15,55.5,927.69
5,40,driving-car,74.02,55.2,1365.64
5,41,driving-car,75.51,54.3,951.61
5,42,driving-car,30.89,32.8,648.48
5,43,driving-car,47.49,48.2,1164.01
5,44,driving-car,75.97,55.8,1326.9
5,45,driving-car,79.45,58.6,1537.85
6,1,driving-car,56.81,36.7,1163.23
6,2,driving-car,23.91,22.5,811.26
6,3,driving-car,38.6,33.7,501.61
6,4,driving-car,12.96,12.0,550.16
6,5,driving-car,73.39,51.3,957.69
6,7,driving-car,30.53,26.0,572.33
6,8,driving-car,29.74,23.8,1222.13
6,9,driving-car,18.24,14.3,609.97
6,10,driving-car,6.1,6.1,975.99
6,11,driving-car,39.56,28.6,993.0
6,12,driving-car,31.95,24.1,1079.43
6,13,driving-car,41.49,33.3,893.54
6,14,driving-car,47.01,40.6,1007.29
6,15,driving-car,45.42,38.2,917.84
6,16,driving-car,40.94,31.1,612.21
6,17,driving-car,56.88,39.4,1222.19
6,18,driving-car,47.39,40.6,744.01
6,19,driving-car,56.22,36.3,588.25
6,20,driving-car,11.77,13.8,791.82
6,21,driving-car,41.56,32.1,601.16
6,22,driving-car,43.24,34.4,1302.45
6,23,driving-car,56.17,36.1,1424.49
6,24,driving-car,11.03,8.8,1029.09
6,25,driving-car,57.98,41.1,914.47
6,26,driving-car,58.01,38.9,595.49
6,27,driving-car,55.36,36.9,1394.55
6,28,driving-car,55.6,35.7,946.47
6,29,driving-car,61.76,42.8,1484.33
6,30,driving-car,50.0,41.5,1380.76
6,31,driving-car,59.18,39.7,1359.24
6,32,driving-car,58.54,36.5,851.09
6,33,driving-car,61.76,42.8,960.93
6,34,driving-car,66.36,46.6,1421.76
6,35,driving-car,66.03,45.6,938.0
6,36,driving-car,40.52,32.7,585.46
6,37,driving-car,42.44,34.6,950.36
6,38,driving-car,57.36,37.8,1418.6
6,39,driving-car,4.52,6.8,789.31
6,40,driving-car,4.74,6.8,677.37
6,41,driving-car,4.71,5.5,251.57
