from_id,to_id,method,distance_km,time_min,cost_baht
12,29,motorbike,25.06,20.9,208.98
12,30,motorbike,18.74,15.3,159.68
12,31,motorbike,22.48,18.4,188.34
12,32,motorbike,28.17,20.0,233.86
12,33,motorbike,25.06,20.9,208.98
12,34,motorbike,33.18,25.5,273.94
12,35,motorbike,32.86,24.7,271.38
12,36,motorbike,9.26,8.3,93.69
12,37,motorbike,11.18,9.8,106.76
12,38,motorbike,16.91,13.4,146.87
12,39,motorbike,34.12,22.0,281.46
12,40,motorbike,34.34,22.0,283.22
12,41,motorbike,34.32,21.0,283.06
12,42,motorbike,11.24,10.0,107.18
12,43,motorbike,23.05,20.4,192.9
12,44,motorbike,34.78,22.2,286.74
12,45,motorbike,38.25,24.4,314.5
13,1,motorbike,15.62,12.4,137.84
13,2,motorbike,28.22,20.7,234.26
13,3,motorbike,6.53,11.2,75.94
13,4,motorbike,32.7,21.3,270.1
13,5,motorbike,32.72,25.8,270.26
13,6,motorbike,43.5,26.4,358.25
13,7,motorbike,70.51,44.1,593.09
13,8,motorbike,16.87,11.7,146.59
13,9,motorbike,58.23,34.8,483.45
13,10,motorbike,46.09,28.2,380.27
13,11,motorbike,76.64,44.6,648.26
13,12,motorbike,10.45,7.0,101.65
13,14,motorbike,7.74,9.4,83.81
13,15,motorbike,6.82,8.4,77.83
13,16,motorbike,1.93,3.0,46.05
13,17,motorbike,12.66,12.0,117.12
13,18,motorbike,8.79,10.2,90.63
13,19,motorbike,9.42,8.0,94.73
13,20,motorbike,51.76,34.4,428.46
13,21,motorbike,3.89,4.4,58.78
13,22,motorbike,3.98,4.5,59.37
13,23,motorbike,9.37,7.8,94.41
13,24,motorbike,51.02,30.4,422.17
13,25,motorbike,13.76,13.3,124.82
13,26,motorbike,13.28,12.6,121.46
13,27,motorbike,9.59,10.3,95.84
13,28,motorbike,8.8,7.5,90.7
13,29,motorbike,17.04,15.7,147.78
13,30,motorbike,10.72,10.1,103.54
13,31,motorbike,14.46,13.2,129.72
13,32,motorbike,17.87,13.9,153.59
13,33,motorbike,17.04,15.7,147.78
13,34,motorbike,25.16,20.3,209.78
13,35,motorbike,24.83,19.5,207.14
13,36,motorbike,4.86,4.5,65.09
13,37,motorbike,2.32,2.7,48.58
13,38,motorbike,8.89,8.2,91.28
13,39,motorbike,44.51,28.8,366.83
13,40,motorbike,44.73,28.8,368.7
13,41,motorbike,44.7,27.8,368.45
13,42,motorbike,2.38,2.9,48.97
13,43,motorbike,26.7,22.7,222.1
13,44,motorbike,45.17,29.0,372.44
13,45,motorbike,48.64,31.2,401.94
14,1,motorbike,15.6,12.2,137.7
14,2,motorbike,32.99,27.4,272.42
14,3,motorbike,15.94,18.0,140.08
14,4,motorbike,37.47,28.0,308.26
14,5,motorbike,33.13,27.3,273.54
14,6,motorbike,48.27,33.0,398.8
14,7,motorbike,75.28,50.8,636.02
14,8,motorbike,21.64,18.3,181.62
14,9,motorbike,63.0,41.4,525.5
14,10,motorbike,50.86,34.9,420.81
14,11,motorbike,89.22,49.8,775.31
14,12,motorbike,15.22,13.7,135.04
14,13,motorbike,7.55,9.4,82.57
14,15,motorbike,5.43,6.2,68.8
14,16,motorbike,5.97,8.3,72.31
14,17,motorbike,9.41,10.6,94.66
14,18,motorbike,4.59,5.6,63.34
14,19,motorbike,9.41,7.8,94.66
14,20,motorbike,56.53,41.1,469.0
14,21,motorbike,8.6,8.5,89.4
14,22,motorbike,7.55,7.4,82.57
14,23,motorbike,9.35,7.6,94.28
14,24,motorbike,55.79,37.1,462.72
14,25,motorbike,10.1,10.8,99.2
14,26,motorbike,10.2,12.2,99.9
14,27,motorbike,9.58,10.0,95.77
14,28,motorbike,8.79,7.3,90.63
14,29,motorbike,17.02,15.4,147.64
