from_id,to_id,method,distance_km,time_min,cost_baht
5,23,driving-car,26.56,27.2,220.98
5,24,driving-car,81.83,57.6,697.72
5,25,driving-car,20.12,25.5,169.46
5,26,driving-car,20.5,24.1,172.5
5,27,driving-car,25.75,28.0,214.5
5,28,driving-car,25.99,26.7,216.42
5,29,driving-car,16.7,19.2,145.4
5,30,driving-car,31.66,32.6,261.78
5,31,driving-car,17.59,21.3,151.63
5,32,driving-car,21.37,24.1,179.46
5,33,driving-car,16.7,19.2,145.4
5,34,driving-car,11.94,18.0,112.08
5,35,driving-car,11.62,16.9,109.84
5,36,driving-car,38.06,38.2,312.98
5,37,driving-car,30.82,32.6,255.06
5,38,driving-car,27.75,28.8,230.5
5,39,driving-car,74.15,55.5,625.85
5,40,driving-car,74.02,55.2,624.68
5,41,driving-car,75.51,54.3,638.09
5,42,driving-car,30.89,32.8,255.62
5,43,driving-car,47.49,48.2,392.17
5,44,driving-car,75.97,55.8,642.23
5,45,driving-car,79.45,58.6,673.55
6,1,driving-car,56.81,36.7,471.38
6,2,driving-car,23.91,22.5,199.78
6,3,driving-car,38.6,33.7,317.3
6,4,driving-car,12.96,12.0,119.22
6,5,driving-car,73.39,51.3,619.01
6,7,driving-car,30.53,26.0,252.74
6,8,driving-car,29.74,23.8,246.42
6,9,driving-car,18.24,14.3,156.18
6,10,driving-car,6.1,6.1,73.15
6,11,driving-car,39.56,28.6,324.98
6,12,driving-car,31.95,24.1,264.1
6,13,driving-car,41.49,33.3,341.17
6,14,driving-car,47.01,40.6,388.08
6,15,driving-car,45.42,38.2,374.57
6,16,driving-car,40.94,31.1,336.49
6,17,driving-car,56.88,39.4,471.98
6,18,driving-car,47.39,40.6,391.31
6,19,driving-car,56.22,36.3,466.37
6,20,driving-car,11.77,13.8,110.89
6,21,driving-car,41.56,32.1,341.76
6,22,driving-car,43.24,34.4,356.04
6,23,driving-car,56.17,36.1,465.95
6,24,driving-car,11.03,8.8,105.71
6,25,driving-car,57.98,41.1,481.33
6,26,driving-car,58.01,38.9,481.58
6,27,driving-car,55.36,36.9,459.06
6,28,driving-car,55.6,35.7,461.1
6,29,driving-car,61.76,42.8,514.34
6,30,driving-car,50.0,41.5,413.5
6,31,driving-car,59.18,39.7,491.53
6,32,driving-car,58.54,36.5,486.09
6,33,driving-car,61.76,42.8,514.34
6,34,driving-car,66.36,46.6,555.74
6,35,driving-car,66.03,45.6,552.77
6,36,driving-car,40.52,32.7,332.92
6,37,driving-car,42.44,34.6,349.24
6,38,driving-car,57.36,37.8,476.06
6,39,driving-car,4.52,6.8,62.88
6,40,driving-car,4.74,6.8,64.31
6,41,driving-car,4.71,5.5,64.11
6,42,driving-car,42.5,34.8,349.75
6,43,driving-car,41.91,35.4,344.73
6,44,driving-car,5.18,7.1,67.17
6,45,driving-car,8.65,9.8,89.72
7,1,driving-car,80.72,53.4,686.06
7,2,driving-car,56.56,46.0,469.26
7,3,driving-car,71.25,57.2,599.75
7,4,driving-car,45.61,35.5,376.19
7,5,driving-car,97.29,68.0,860.05
7,6,driving-car,37.79,28.0,310.82
7,8,driving-car,60.04,44.5,498.86
7,9,driving-car,14.36,18.9,129.02
7,10,driving-car,28.17,27.2,233.86
7,11,driving-car,7.92,9.7,84.98
7,12,driving-car,64.6,47.6,539.9
7,13,driving-car,74.14,56.8,625.76
7,14,driving-car,86.46,59.8,746.33
7,15,driving-car,78.07,61.7,661.13
7,16,driving-car,73.59,54.6,620.81
7,17,driving-car,80.78,56.1,686.69
7,18,driving-car,80.04,64.0,678.92
7,19,driving-car,80.12,53.0,679.76
7,20,driving-car,26.69,29.9,222.02
7,21,driving-car,74.22,55.6,626.48
7,22,driving-car,75.9,57.9,641.6
7,23,driving-car,80.07,52.8,679.23
7,24,driving-car,24.47,23.7,204.26
7,25,driving-car,81.88,57.7,698.24
7,26,driving-car,81.91,55.6,698.55
7,27,driving-car,79.26,53.6,671.84
7,28,driving-car,79.5,52.3,674.0
7,29,driving-car,85.66,59.4,737.93
7,30,driving-car,85.17,58.2,732.78
7,31,driving-car,83.09,56.4,710.95
7,32,driving-car,82.44,53.1,704.12
7,33,driving-car,85.66,59.4,737.93
7,34,driving-car,90.26,63.3,786.23
7,35,driving-car,89.93,62.2,782.77
7,36,driving-car,73.17,56.2,617.03
7,37,driving-car,75.09,58.1,634.31
7,38,driving-car,81.26,54.4,691.73
7,39,driving-car,38.98,31.0,320.34
7,40,driving-car,38.85,30.8,319.3
7,41,driving-car,30.48,28.9,252.34
7,42,driving-car,75.15,58.3,634.85
7,43,driving-car,65.81,52.1,550.79
7,44,driving-car,31.71,30.6,262.18
7,45,driving-car,28.34,28.9,235.22
8,1,driving-car,29.49,26.5,244.42
8,2,driving-car,15.66,17.1,138.12
8,3,driving-car,13.18,15.8,120.76
8,4,driving-car,20.14,17.9,169.62
8,5,driving-car,47.02,45.4,388.17
8,6,driving-car,30.93,24.2,255.94
8,7,driving-car,57.95,46.4,481.08
8,9,driving-car,45.67,34.7,376.69
8,10,driving-car,33.52,26.5,276.66
8,11,driving-car,61.41,44.4,511.19
8,12,driving-car,6.54,6.2,76.01
8,13,driving-car,16.08,15.4,141.06
8,14,driving-car,21.6,22.7,181.3
8,15,driving-car,20.01,20.4,168.58
8,16,driving-car,15.52,13.2,137.14
8,17,driving-car,26.53,26.0,220.74
8,18,driving-car,21.98,22.7,184.34
8,19,driving-car,23.3,21.0,194.9
8,20,driving-car,39.19,34.2,322.02
8,21,driving-car,16.15,14.2,141.55
8,22,driving-car,17.83,16.5,153.31
8,23,driving-car,23.24,20.8,194.42
8,24,driving-car,38.46,29.3,316.18
8,25,driving-car,27.64,27.7,229.62
8,26,driving-car,27.16,26.7,225.78
8,27,driving-car,23.47,23.8,196.26
8,28,driving-car,22.67,20.4,189.86
8,29,driving-car,30.91,30.6,255.78
8,30,driving-car,24.59,23.7,205.22
8,31,driving-car,28.33,27.6,235.14
8,32,driving-car,34.02,29.5,280.66
8,33,driving-car,30.91,30.6,255.78
8,34,driving-car,39.03,36.4,320.74
8,35,driving-car,38.71,35.3,318.18
8,36,driving-car,15.11,14.8,134.27
8,37,driving-car,17.03,16.8,147.71
8,38,driving-car,22.76,21.3,190.58
8,39,driving-car,31.95,27.3,264.1
8,40,driving-car,32.17,27.2,265.86
8,41,driving-car,32.14,26.0,265.62
8,42,driving-car,17.09,17.0,148.13
8,43,driving-car,17.45,21.2,150.65
8,44,driving-car,32.6,27.5,269.3
8,45,driving-car,36.07,30.2,297.06
9,1,driving-car,73.26,48.2,617.84
9,2,driving-car,40.3,34.1,331.05
9,3,driving-car,54.98,45.3,455.83
9,4,driving-car,29.35,23.6,243.3
9,5,driving-car,89.83,62.8,781.71
9,6,driving-car,17.63,13.8,151.91
9,7,driving-car,13.57,13.7,123.49
9,8,driving-car,46.13,35.5,380.61
9,10,driving-car,14.51,12.0,130.07
9,11,driving-car,21.5,19.8,180.5
9,12,driving-car,48.34,35.7,399.39
9,13,driving-car,57.88,44.9,480.48
9,14,driving-car,63.39,52.2,529.01
9,15,driving-car,61.81,49.8,514.79
9,16,driving-car,57.32,42.7,475.72
9,17,driving-car,73.32,50.9,618.38
9,18,driving-car,63.78,52.2,532.52
9,19,driving-car,72.67,47.8,612.53
9,20,driving-car,13.03,14.7,119.71
9,21,driving-car,57.95,43.7,481.08
9,22,driving-car,59.63,46.0,495.36
9,23,driving-car,72.61,47.6,611.99
9,24,driving-car,10.82,8.5,104.24
9,25,driving-car,74.42,52.5,628.28
9,26,driving-car,74.45,50.4,628.55
9,27,driving-car,71.8,48.4,604.7
9,28,driving-car,72.04,47.1,606.86
9,29,driving-car,78.21,54.2,662.39
9,30,driving-car,77.71,53.0,657.89
9,31,driving-car,75.63,51.2,639.17
9,32,driving-car,74.98,47.9,633.32
9,33,driving-car,78.21,54.2,662.39
9,34,driving-car,82.8,58.1,707.9
9,35,driving-car,82.47,57.0,704.43
9,36,driving-car,56.91,44.3,472.23
9,37,driving-car,58.83,46.2,488.55
9,38,driving-car,73.8,49.2,622.7
9,39,driving-car,18.56,16.8,158.42
9,40,driving-car,18.86,16.8,160.52
9,41,driving-car,16.82,13.7,146.24
9,42,driving-car,58.89,46.5,489.06
9,43,driving-car,58.36,46.9,484.56
9,44,driving-car,18.05,15.4,154.85
9,45,driving-car,14.69,13.7,131.33
10,1,driving-car,60.37,38.9,501.83
10,2,driving-car,27.4,24.9,227.7
10,3,driving-car,42.09,36.1,346.27
10,4,driving-car,16.46,14.3,143.72
10,5,driving-car,76.94,53.5,650.96
10,6,driving-car,4.73,4.6,64.25
10,7,driving-car,26.0,22.5,216.5
10,8,driving-car,33.24,26.2,274.42
10,9,driving-car,13.72,10.8,124.54
10,11,driving-car,33.93,28.6,279.94
10,12,driving-car,35.45,26.5,292.1
10,13,driving-car,44.99,35.7,370.92
10,14,driving-car,50.5,43.0,417.75
10,15,driving-car,48.92,40.6,404.32
10,16,driving-car,44.43,33.5,366.15
10,17,driving-car,60.43,41.6,502.37
10,18,driving-car,50.88,42.9,420.98
10,19,driving-car,59.78,38.5,496.63
10,20,driving-car,5.93,10.2,72.05
10,21,driving-car,45.06,34.4,371.51
10,22,driving-car,46.74,36.7,385.79
10,23,driving-car,59.72,38.3,496.12
10,24,driving-car,6.5,5.3,75.75
10,25,driving-car,61.53,43.3,512.27
10,26,driving-car,61.56,41.1,512.54
10,27,driving-car,58.91,39.1,489.23
10,28,driving-car,59.15,37.9,491.27
10,29,driving-car,65.31,44.9,546.29
10,30,driving-car,64.82,43.8,541.88
10,31,driving-car,62.74,41.9,523.16
10,32,driving-car,62.09,38.6,517.31
10,33,driving-car,65.31,45.0,546.29
10,34,driving-car,69.91,48.8,587.69
10,35,driving-car,69.58,47.8,584.72
10,36,driving-car,44.01,35.1,362.58
10,37,driving-car,45.94,37.0,378.99
10,38,driving-car,60.91,40.0,506.69
10,39,driving-car,4.22,7.3,60.93
10,40,driving-car,5.97,7.5,72.31
10,41,driving-car,3.93,4.4,59.05
10,42,driving-car,46.0,37.2,379.5
10,43,driving-car,45.47,37.6,375.0
10,44,driving-car,5.16,6.2,67.04
10,45,driving-car,4.12,6.3,60.28
11,1,driving-car,80.07,52.0,679.23
11,2,driving-car,55.92,44.6,463.82
11,3,driving-car,70.6,55.8,593.9
11,4,driving-car,44.97,34.1,370.75
11,5,driving-car,96.65,66.6,853.33
11,6,driving-car,37.15,26.6,305.7
11,7,driving-car,9.65,9.8,96.22
11,8,driving-car,59.4,43.1,493.4
11,9,driving-car,17.11,18.6,148.27
11,10,driving-car,30.92,26.9,255.86
11,12,driving-car,63.96,46.2,534.14
11,13,driving-car,73.5,55.4,620.0
11,14,driving-car,85.82,58.4,739.61
11,15,driving-car,77.43,60.3,655.37
11,16,driving-car,72.94,53.2,614.96
11,17,driving-car,80.14,54.7,679.97
11,18,driving-car,79.4,62.7,673.1
11,19,driving-car,79.48,51.6,673.82
11,20,driving-car,29.45,29.6,244.1
11,21,driving-car,73.57,54.2,620.63
11,22,driving-car,75.25,56.5,635.75
11,23,driving-car,79.42,51.4,673.28
11,24,driving-car,27.23,23.4,226.34
11,25,driving-car,81.24,56.4,691.52
11,26,driving-car,81.27,54.2,691.83
11,27,driving-car,78.61,52.2,665.99
11,28,driving-car,78.86,50.9,668.24
11,29,driving-car,85.02,58.0,731.21
11,30,driving-car,84.52,56.8,725.96
11,31,driving-car,82.44,55.0,704.12
11,32,driving-car,81.8,51.7,697.4
11,33,driving-car,85.02,58.0,731.21
11,34,driving-car,89.61,61.9,779.4
11,35,driving-car,89.29,60.8,776.05
11,36,driving-car,72.53,54.8,611.27
11,37,driving-car,74.45,56.7,628.55
11,38,driving-car,80.62,53.1,685.01
11,39,driving-car,38.34,29.6,315.22
11,40,driving-car,38.21,29.4,314.18
11,41,driving-car,39.69,28.5,326.02
11,42,driving-car,74.51,56.9,629.09
11,43,driving-car,65.17,50.7,545.03
11,44,driving-car,40.16,30.0,329.86
11,45,driving-car,31.1,28.7,257.3
12,1,driving-car,23.64,22.0,197.62
12,2,driving-car,17.84,17.4,153.38
12,3,driving-car,7.34,11.3,81.21
12,4,driving-car,22.32,18.1,187.06
12,5,driving-car,41.17,40.9,338.44
12,6,driving-car,33.11,24.5,273.38
12,7,driving-car,60.13,46.6,499.67
12,8,driving-car,6.49,6.1,75.69
12,9,driving-car,47.85,34.9,395.23
12,10,driving-car,35.7,26.7,294.1
12,11,driving-car,66.26,47.2,554.84
12,13,driving-car,10.23,10.9,100.11
12,14,driving-car,15.75,18.2,138.75
12,15,driving-car,14.16,15.9,127.62
12,16,driving-car,9.68,8.7,96.42
12,17,driving-car,20.68,21.5,173.94
12,18,driving-car,16.13,18.2,141.41
12,19,driving-car,17.45,16.5,150.65
12,20,driving-car,41.37,34.5,340.14
12,21,driving-car,10.3,9.7,100.6
12,22,driving-car,11.98,12.0,112.36
12,23,driving-car,17.39,16.3,150.23
12,24,driving-car,40.63,29.5,333.86
12,25,driving-car,21.79,23.2,182.82
12,26,driving-car,21.31,22.2,178.98
12,27,driving-car,17.62,19.3,151.84
12,28,driving-car,16.82,15.9,146.24
12,29,driving-car,25.06,26.1,208.98
12,30,driving-car,18.74,19.2,159.68
12,31,driving-car,22.48,23.1,188.34
12,32,driving-car,28.17,25.0,233.86
12,33,driving-car,25.06,26.1,208.98
12,34,driving-car,33.18,31.9,273.94
12,35,driving-car,32.86,30.8,271.38
12,36,driving-car,9.26,10.3,93.69
12,37,driving-car,11.18,12.3,106.76
